name,type,latitude,longitude,min_distance,risk_score
CVS Pharmacy,pharmacy,27.9485379,-82.4585068,7.024851930630351,0.12461289113423556
Miami Lakes Fire Station,fire_station,25.9240447,-80.308954,2.8196446441447587,0.2618044590961958
7-Eleven,fuel,27.9817608,-82.4528778,5.0517956599926865,0.16524021235727057
CVS Pharmacy,pharmacy,28.5461478,-81.2044555,10.652013914150048,0.08582207396659676
Walgreens,pharmacy,28.5472987,-81.2046923,10.694055801092174,0.08551353072101847
BP,fuel,28.5471874,-81.2056277,10.608457463191263,0.08614408961490837
7-Eleven,fuel,28.5462636,-81.2031507,10.770039635701565,0.08496148109533481
Chevron,fuel,28.566285,-81.2071559,11.687074063944143,0.07882038009393642
Walgreens,pharmacy,28.5386526,-81.2769319,4.853060327657537,0.17085079326360056
Mobil,fuel,28.5132568,-81.1533801,5.420271413782815,0.15575665506184597
7-Eleven,fuel,28.4953279,-81.4357601,12.151822848181334,0.07603508742046981
Mobil,fuel,28.5052025,-81.4581947,11.304203750398072,0.08127303645858819
7-Eleven,fuel,28.5042356,-81.4582377,11.403029104873196,0.08062546588777222
Speedway,fuel,28.5145396,-81.458562,10.328683013343833,0.08827151389284348
Walmart,fuel,28.5143458,-81.4610293,10.256671720557726,0.08883620530336064
South Florida State Hospital,hospital,26.002834,-80.2507295,11.933835905396917,0.0773165832096825
Kindred Hospital - North Florida,hospital,29.9877882,-81.6824678,12.586771389367046,0.07360100286831911
Douglas Gardens Hospital,hospital,25.8237323,-80.19296,2.7313859759369774,0.26799693369938576
Brooks Rehabilitation Hospital,hospital,30.2902563,-81.6011984,13.812923644758607,0.06750861774365786
West Florida Community Care Center,hospital,30.6344247,-87.0423559,5.57500031303087,0.1520912475119003
The Peninsula,social_facility,25.983398,-80.1942395,9.598287803663355,0.09435486358979085
The Vines Hospital,hospital,29.155548,-82.1705238,16.315018763698603,0.05775333042644612
Port Charlotte Rehabilitation Center,social_facility,26.999743,-82.0305573,3.0276151983210013,0.24828588401813353
CPC Beverly Hills,hospital,28.9097874,-82.4421641,4.246200833544463,0.19061412853391954
Pinecrest Rehabilitation Hospital,hospital,26.4364686,-80.1282152,4.933429022537101,0.1685366077864374
The Jerome Golden Center for Behavioral Health,hospital,26.754231,-80.0673117,6.035793988120343,0.14213036960554276
Fair Oaks Pavilion,hospital,26.4363545,-80.1294114,4.991951959640311,0.16689052361161266
Specialty Hospital Jacksonville,hospital,30.27148,-81.61587,11.335613503490464,0.0810660936901956
The Friary of Lakeview,social_facility,30.39805,-87.03946,3.7907400881294233,0.20873601606520398
Okeechobee City Police Department,police,27.2434,-80.8291,17.574054830953962,0.05383854032418833
Ten Broeck Hospital Jacksonville,hospital,30.2901371,-81.5973748,13.70942497985215,0.06798362283839945
AdventHealth Cancer Institute,hospital,28.5753182,-81.3724209,3.8449105163031025,0.20640216091401575
Saint Catherine's Rehabilitation Hospital,hospital,25.889921,-80.177,7.783460246464168,0.11385034735058494
Women’s Care Center,hospital,27.763758,-82.642103,16.047720827573563,0.05865886766414933
Sunoco,fuel,27.9414652,-82.4682612,7.216607900971973,0.12170472438896669
Marion County Fire-rescue Station Number 23,fire_station,28.9822035,-82.1198117,2.7620613784421066,0.26581171847177737
Levy County EMS Station Number 4,fire_station,29.3774701,-82.4484372,14.896372981093513,0.062907431851867
Weston South Station 55,fire_station,26.0697746,-80.3942373,3.4098301029860516,0.2267661058694449
Rockledge Rescue Station 45,fire_station,28.3342126,-80.7231129,7.656800080238283,0.11551612498049907
Daytona Beach International Airport Station 17,fire_station,29.1783852,-81.057143,4.804681366480354,0.17227474461812642
Cape Canaveral Rescue Station 60,fire_station,28.387499,-80.6044336,1.4561308818779692,0.4071444267804635
Miami Beach - Beach Patrol Ocean Rescue,fire_station,25.7802585,-80.1301581,3.7330298951703598,0.2112811501614245
Melbourne Rescue Station 67 and 68,fire_station,28.1075052,-80.6277418,7.13638088169096,0.1229047674317052
Bonita Springs Fire Control / Rescue District,fire_station,26.3380325,-81.7793511,4.703207182377554,0.17533993909425535
Southern Manatee Fire Depratment,fire_station,27.4333216,-82.5445713,9.21292333668488,0.09791515778915075
Tavernier Volunteer Fire / Ambulance Department,fire_station,25.0182354,-80.5112166,2.3214341556747997,0.3010747626266988
Spring Hill Rescue District,fire_station,28.485665,-82.5756904,9.817569784634621,0.09244220466415752
Captiva Fire Control District Stn 181,fire_station,26.52279,-82.1894282,2.743785531468503,0.2671093179869599
Midway Combo Station 30,fire_station,28.0386014,-82.072085,14.28727773361692,0.06541387010984874
Melbourne Fire Station 71,fire_station,28.1286448,-80.6328658,7.314142263914865,0.12027698928610006
Levy County EMS Station Number 2,fire_station,29.4783333,-82.8611111,4.469043248275137,0.18284733811812268
Putnam County EMS Rescue Unit 7,fire_station,29.6276376,-82.0292043,10.561013120338412,0.08649760964640513
Union County EMS/Fire Station 3,fire_station,29.9297222,-82.4233333,8.131375859996336,0.10951252202648915
Citrus Springs Volunteer Fire Department,fire_station,29.001836,-82.4665,3.2643459380027813,0.23450255081048907
Dunnellon Fire Department,fire_station,29.0494204,-82.4620443,6.619485907580861,0.1312424502294924
Marion County Fire and Rescue Unit 22,fire_station,29.0977527,-82.4512114,11.859198798263018,0.07776534259156775
Cross Creek Fire Station,fire_station,29.4769153,-82.1589848,6.259661302515523,0.13774747310229102
Leesburg Fire Department Station 2,fire_station,28.8288889,-81.8952778,19.032237040622988,0.04991953709274302
Fruitland Park Fire and Rescue Station,fire_station,28.8588889,-81.9127778,15.740037355110584,0.05973702320889439
Marion County Fire Rescue Unit Number 20,fire_station,29.2252527,-82.2356517,9.00232700434589,0.09997673537023055
Morriston-Montbrook Volunteer Fire Department,fire_station,29.282749,-82.4412138,20.171043255396167,0.04723432794201654
Rainbow Lakes Estates Volunteer Fire Station Number 14,fire_station,29.1499734,-82.482602,12.685339768599352,0.07307089315345121
Floral City Fire Department,fire_station,28.7497836,-82.2950269,19.06144668244735,0.04984685381014642
Weston Fire Station,fire_station,26.0929118,-80.3817339,1.9870394448809199,0.33477964334008503
Highlands Fire Dept. Fire/Rescue Station 81,fire_station,28.7986111,-82.34,12.69843078808342,0.0730010623457632
Gospel Island Volunteer Fire Department,fire_station,28.8497222,-82.2697222,8.794568813658207,0.10209739897947652
Lake County Fire/Rescue Fire Station 71,fire_station,28.8419444,-81.7697222,17.179759395127316,0.05500622853501724
North Miami East Fire Station,fire_station,25.8955556,-80.1666667,6.686833152033322,0.13009258562292064
Perrine Fire Station,fire_station,25.6033333,-80.3497222,4.999790348178971,0.16667249053185923
Saga Bay Fire Station,fire_station,25.8108333,-80.3488889,11.056074802379587,0.0829457361862605
Honey Hill Fire Station,fire_station,25.9536111,-80.28,6.287858832524994,0.13721451292896877
Miramar Fire Station,fire_station,25.9808333,-80.2211111,11.95881544960245,0.07716754697904722
Miramar Fire Station,fire_station,25.9652778,-80.3383333,8.20857440183632,0.10859444213217041
Lake County Fire Department District 6 Station 1,fire_station,28.9197076,-81.9253605,9.262770273037635,0.09743957755998899
Lake County Fire-Rescue Station No 62,fire_station,28.8763759,-81.9114708,13.791618924455788,0.06760585201033306
Yankeetown Fire Department,fire_station,29.0296951,-82.7164952,3.670911944355225,0.2140909552380869
Fire Station No 16,fire_station,27.86255,-82.3236725,10.232674856412455,0.08902599004983437
Fire Station 43 VPSD,fire_station,28.9484632,-81.9513664,7.431155001960649,0.11860771148999774
Citrus County Fire Rescue Station 5,fire_station,28.9006903,-82.3733776,2.5927442947682,0.27833876222591536
Marion County Fire and Rescue Station Number 9,fire_station,29.4260826,-82.2173198,14.020189407075712,0.06657705658018666
Ocala Fire Station Number 2,fire_station,29.1622899,-82.0843585,9.200772975411818,0.09803178665091591
Royal Volunteer Fire Station,fire_station,28.8966512,-82.0942541,10.300967054100544,0.08848800241720473
Beverly Hills Volunteer Fire Station,fire_station,28.9180354,-82.4678762,6.904640157164624,0.12650797254744328
Ocala Fire Station Number 4,fire_station,29.1675667,-82.1784805,14.87321677292216,0.06299920263836391
