ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
12,Florida,FL,12091,Okaloosa County,12091,"Okaloosa County, Florida",929.861523484458,212021,0,101408,87,83334,894,37398,2497,3239,523,23247,1329,10188,912,22510,1691,34564,73,47292,0,30738,1313,4768,594,3626,782,60954,869,17226,859,4715,575,1809,363,3097,450,5278,88,18.1,1.2,3.3,0.5,27.9,1.6,7.0,0.6,11.4,0.8,16.3,0.1,22.3,0.0,15.6,0.7,5.7,0.7,1.8,0.4,28.7,0.4,17.0,0.8,4.6,0.6,2.1,0.4,3.7,0.5,2.5,0.0,0.2121,0.0303,0.6818,0.0758,0.3939,1.3939,0.1364,0.1818,0.9091,0.4091,0.5152,0.5152,2.5304,0.5303,0.4545,0.4545,0.4545,0.8182,0.1061,0.4394,0.1667,0.4848,2.0152,0.2424,6.394,0.2121,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,220608,7848,746,19679,787,21317,0,6784,472,250,83,237,126,11773,1169,914,302,9.4,0.9,9.3,0.4,10.1,0.0,3.2,0.2,0.1,0.1,0.1,0.1,5.6,0.6,0.4,0.1
12,Florida,FL,12093,Okeechobee County,12093,"Okeechobee County, Florida",769.286093208606,39870,0,18496,43,14919,390,11107,1221,1006,312,3606,477,5699,526,6653,994,7704,123,8515,85,6680,746,1103,329,1546,347,15246,90,428,300,6933,468,716,214,471,138,2715,69,30.0,3.3,6.1,1.9,24.2,3.1,20.1,1.9,17.9,2.7,19.3,0.3,21.4,0.2,17.9,2.0,7.4,2.2,4.1,0.9,38.2,0.2,2.3,1.6,37.5,2.5,4.8,1.2,3.2,0.9,6.8,0.2,0.7727,0.8182,0.4545,0.8788,0.9394,3.8636,0.9242,0.3939,0.7727,0.5758,0.7879,0.7879,3.3182,0.9697,0.6818,0.6818,0.6818,0.3485,0.8182,0.8939,0.0758,0.6818,2.8182,0.6667,10.6818,0.9242,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35924,2817,424,3068,220,10661,0,343,79,58,41,7,11,935,213,174,130,18.9,2.8,7.7,0.6,26.7,0.0,0.9,0.2,0.1,0.1,0.0,0.1,2.3,0.5,0.4,0.3
12,Florida,FL,12095,Orange County,12095,"Orange County, Florida",902.92428772126,1427403,0,565109,212,491378,2508,322345,8960,42585,2177,165959,3845,101997,3624,178889,5780,177634,148,308436,0,159150,4348,33609,1603,97361,4543,891681,2554,130475,3152,18204,1188,18127,1289,25710,1687,38077,364,23.2,0.6,5.5,0.3,33.8,0.8,10.6,0.4,12.6,0.4,12.4,0.1,21.6,0.0,11.2,0.3,6.9,0.3,7.2,0.3,62.5,0.2,23.1,0.6,3.2,0.2,3.7,0.2,5.2,0.3,2.7,0.0,0.4545,0.6061,0.9545,0.4394,0.5455,3.0,0.7121,0.0,0.8182,0.0606,0.6667,0.9091,2.4546,0.4848,0.9242,0.9242,0.9242,0.9242,0.0606,0.7879,0.5758,0.5303,2.8788,0.7121,9.2576,0.8182,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,4,1639906,38694,1803,276200,2739,469883,0,74033,1337,1186,315,1162,361,56818,3751,12399,1699,7.9,0.4,19.3,0.2,32.9,0.0,5.2,0.1,0.1,0.1,0.1,0.1,4.0,0.3,0.9,0.1
12,Florida,FL,12097,Osceola County,12097,"Osceola County, Florida",1327.542039836122,393745,0,156976,123,119817,1523,94039,5540,10702,1155,45040,2271,32217,2262,46140,3098,51913,150,94791,99,54605,2464,8855,1148,37079,2735,281353,837,21498,1252,11065,1040,5504,753,5403,786,2155,26,24.1,1.4,5.3,0.6,37.6,1.8,12.3,0.9,11.8,0.8,13.2,0.1,24.1,0.1,13.9,0.6,7.4,1.0,10.0,0.7,71.5,0.2,13.7,0.8,7.0,0.7,4.6,0.5,4.5,0.6,0.5,0.0,0.5303,0.5455,0.9848,0.5455,0.4697,3.0758,0.7576,0.0152,0.9697,0.2424,0.7879,0.9697,2.9849,0.8485,0.9848,0.9848,0.9848,0.697,0.197,0.8788,0.3333,0.0,2.1061,0.2879,9.1516,0.7424,0,0,1,0,0,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,4,319409,11621,1146,36629,1298,220780,0,10314,595,332,142,76,103,10588,1431,2634,868,9.7,0.9,9.3,0.3,56.1,0.0,2.6,0.2,0.1,0.1,0.0,0.1,2.7,0.4,0.7,0.2
12,Florida,FL,12099,Palm Beach County,12099,"Palm Beach County, Florida",1964.29070490932,1494805,0,708303,249,589594,2337,283878,7933,42825,2193,187889,3856,121167,3320,200159,5163,365029,57,281121,121,183259,3412,31422,1669,106381,3832,721646,2883,177202,2966,19079,1151,19099,1333,35402,1855,24897,356,19.3,0.5,5.8,0.3,31.9,0.6,11.0,0.3,13.5,0.3,24.4,0.1,18.8,0.1,12.4,0.2,5.3,0.3,7.5,0.3,48.3,0.2,25.0,0.4,2.7,0.2,3.3,0.2,6.0,0.3,1.7,0.0,0.2727,0.6818,0.9091,0.5,0.6818,3.0454,0.7424,0.697,0.4242,0.1667,0.3939,0.9545,2.6363,0.6667,0.8636,0.8636,0.8636,0.9545,0.0303,0.7273,0.697,0.2727,2.6818,0.5455,9.2271,0.803,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,1457887,62573,2284,270090,2600,350700,0,41602,916,836,212,638,200,48334,4047,9446,1575,10.6,0.4,18.1,0.2,23.5,0.0,2.8,0.1,0.1,0.1,0.0,0.1,3.2,0.3,0.6,0.1
12,Florida,FL,12101,Pasco County,12101,"Pasco County, Florida",746.603265190148,569211,0,259083,111,223385,1394,112969,4356,13913,1106,61731,2089,38282,1785,62774,2749,126195,118,114850,73,92558,2402,12175,940,12451,1091,168590,881,16476,1124,46661,1419,3375,422,10769,905,8095,118,20.2,0.8,5.3,0.4,27.6,0.9,9.3,0.4,11.2,0.5,22.2,0.1,20.2,0.1,16.4,0.4,5.5,0.4,2.3,0.2,29.6,0.2,6.4,0.4,18.0,0.5,1.5,0.2,4.8,0.4,1.4,0.0,0.3333,0.5455,0.6515,0.303,0.3485,2.1818,0.3636,0.5455,0.6212,0.5,0.4697,0.6061,2.7425,0.7273,0.4848,0.4848,0.4848,0.5455,0.5152,0.197,0.4545,0.2273,1.9395,0.2273,7.3486,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459791,26343,1431,32118,1239,99192,0,16052,587,857,207,348,118,17867,1684,2156,725,11.8,0.6,5.6,0.2,17.4,0.0,2.8,0.1,0.2,0.1,0.1,0.1,3.1,0.3,0.4,0.1
12,Florida,FL,12103,Pinellas County,12103,"Pinellas County, Florida",273.780199994908,959918,0,516276,227,418716,2522,183629,5439,22435,1533,127341,2836,55868,2217,101670,3679,245332,47,150931,0,146750,3329,20259,1264,21073,1506,264800,1242,126015,2530,46611,1567,7834,725,28875,1326,22837,338,19.5,0.6,4.6,0.3,30.4,0.7,7.5,0.3,10.8,0.4,25.6,0.1,15.7,0.0,15.5,0.4,4.8,0.3,2.3,100.0,27.6,0.1,24.4,0.5,9.0,0.3,1.9,0.1,6.9,0.3,2.4,0.0,0.2879,0.3182,0.8333,0.1212,0.2576,1.8182,0.197,0.7727,0.1061,0.3939,0.3182,0.6061,2.197,0.2879,0.3939,0.3939,0.3939,0.9394,0.3333,0.2879,0.7879,0.4545,2.803,0.6212,7.2121,0.3182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,964502,50021,1901,94392,1360,99956,0,33372,712,1192,220,705,130,31506,1618,3677,765,11.9,0.5,9.8,0.1,10.4,0.0,3.5,0.1,0.1,0.1,0.1,0.1,3.3,0.2,0.4,0.1
12,Florida,FL,12105,Polk County,12105,"Polk County, Florida",1798.136532009402,736229,0,320023,212,264145,2039,185406,5644,15557,1203,75489,2511,66710,2043,94385,3995,146515,21,161066,70,102772,2512,16444,1108,34249,2091,335674,920,19116,1311,65545,1960,8827,858,13778,927,15321,409,25.7,0.8,4.6,0.4,28.6,0.9,13.1,0.4,13.0,0.5,19.9,0.1,21.9,0.1,14.1,0.3,6.2,0.4,4.9,0.3,45.6,0.1,6.0,0.4,20.5,0.6,3.3,0.3,5.2,0.4,2.1,0.1,0.5909,0.3182,0.7121,0.5758,0.6212,2.8182,0.6212,0.4242,0.8636,0.2576,0.5303,0.803,2.8787,0.7727,0.803,0.803,0.803,0.5303,0.5758,0.7273,0.5758,0.3939,2.8031,0.6515,9.303,0.8485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708238,38967,1685,105841,1532,192804,0,12503,667,1063,259,246,158,18896,1578,4321,955,14.8,0.6,14.4,0.2,26.2,0.0,1.7,0.1,0.1,0.1,0.0,0.1,2.6,0.2,0.6,0.1
12,Florida,FL,12107,Putnam County,12107,"Putnam County, Florida",728.353829062264,73604,0,36183,59,29782,486,28154,1922,2520,475,7484,728,9242,728,12016,1048,17269,60,15663,12,13364,1080,1908,399,2082,420,21752,220,852,251,15254,638,769,265,2236,388,1368,19,39.0,2.7,8.9,1.6,25.1,2.4,17.6,1.4,16.6,1.4,23.5,0.1,21.3,0.1,18.4,1.5,6.4,1.3,3.0,0.6,29.6,0.3,2.4,0.7,42.2,1.8,2.6,0.7,7.5,1.3,1.9,0.0,0.9697,0.9545,0.5303,0.7727,0.9091,4.1363,0.9545,0.6212,0.7576,0.6212,0.5909,0.7121,3.303,0.9545,0.4848,0.4848,0.4848,0.3636,0.8939,0.5758,0.9242,0.3485,3.106,0.8333,11.0301,0.9394,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,67677,5158,682,11490,320,7727,0,417,95,181,84,0,35,1786,369,151,182,17.3,2.2,15.6,0.4,10.5,0.0,0.6,0.1,0.2,0.1,0.0,0.1,2.4,0.5,0.2,0.2
12,Florida,FL,12109,St. Johns County,12109,"St. Johns County, Florida",600.640660088314,278722,0,120920,81,102056,1095,32384,2462,5980,872,21690,1507,9926,1306,19826,1905,57756,71,59977,0,29161,2077,4397,653,2755,674,55831,1026,10649,853,6702,701,1017,320,2427,490,3034,85,11.8,0.9,4.4,0.6,21.3,1.5,5.0,0.7,7.2,0.7,20.7,0.1,21.5,0.0,10.5,0.8,4.3,0.6,1.0,0.3,20.0,0.4,8.8,0.7,5.5,0.6,1.0,0.3,2.4,0.5,1.1,0.0,0.0,0.2576,0.2273,0.0,0.0303,0.5152,0.0,0.5,0.7879,0.0152,0.197,0.2727,1.7728,0.0455,0.1364,0.1364,0.1364,0.6061,0.1364,0.0303,0.0303,0.1364,0.9395,0.0152,3.3639,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239131,7252,720,14605,624,22235,0,8650,485,209,134,174,162,8732,1154,1226,451,7.1,0.7,5.2,0.2,8.0,0.0,3.1,0.2,0.1,0.1,0.1,0.1,3.1,0.4,0.4,0.2
